,Unnamed: 0,Customer ID,last_date,recency,rank_recency,frequency,freq_ranking,monetary,rank_monet,rec_freq_monet
0,0,12346.0,2011-01-18,325,0.7103383778269002,34,0.621067845604489,6463.038333333334,0.0015303519809556,321
261,261,12608.0,2010-10-31,404,0.7917871110355382,16,0.8027546335657201,415.79,0.2487672164597857,331
397,397,12745.0,2010-08-10,486,0.8745111375616392,23,0.7227512327835403,308.47,0.4354701581363713,332
398,398,12746.0,2010-06-17,540,0.902482570991328,17,0.7903417786090801,254.55,0.5517769086889984,332
399,399,12747.0,2011-12-07,2,0.0312021765005951,249,0.1328005441251487,342.24923076923085,0.3596327155245706,111
400,400,12748.0,2011-12-09,0,0.0030607039619112,6587,0.0005101173269852,158.87133531157275,0.7966332256418976,113
401,401,12749.0,2011-12-06,3,0.0468457745281414,338,0.0879102193504506,766.3733333333334,0.0675055262710423,111
429,429,12777.0,2010-09-08,457,0.8552967182451964,26,0.6929943887094031,519.4499999999999,0.1535453154225471,321
471,471,12819.0,2010-09-07,458,0.8561469137901717,19,0.7650059513688148,540.5200000000001,0.140792382247917,331
472,472,12820.0,2011-12-06,3,0.0468457745281414,160,0.2146743751062744,244.50181818181815,0.5760925012752933,112
473,473,12821.0,2011-05-09,214,0.623618432239415,13,0.8385478660091821,110.4,0.9158306410474408,233
474,474,12822.0,2011-09-30,70,0.4372555687808196,46,0.5355381737799694,474.4399999999999,0.1880632545485461,221
475,475,12823.0,2011-09-26,74,0.454344499234824,18,0.7780139432069376,361.19444444444446,0.3223941506546505,231
476,476,12824.0,2011-10-11,59,0.402482570991328,25,0.7022615201496344,397.12,0.2700221050841693,231
477,477,12825.0,2010-07-06,521,0.8938105764325794,24,0.712208808025846,259.315,0.540724366604319,332
478,478,12826.0,2011-12-07,2,0.0312021765005951,157,0.2197755483761265,233.39583333333331,0.6002380547525931,112
479,479,12827.0,2011-12-04,5,0.0749022275123278,25,0.7022615201496344,143.38333333333333,0.8377826900187043,133
480,480,12828.0,2011-12-07,2,0.0312021765005951,56,0.4789151504846115,169.785,0.767726577112736,123
